method,ATE,CI_lower,CI_upper
"Naive
(no control)",3.1421780586242676,,
"TARNet
(PyTorch)",2.102076292037964,,
"DML-PLR
(Lasso)",0.8452097034057993,0.5406694425399263,1.1497499642716724
"DML-IRM
(Lasso)",0.5053328037655497,-0.047378878550492345,1.0580444860815916
"DML-PLR
(RF)",1.6818946666912051,1.3767358450331053,1.9870534883493047
"DML-IRM
(RF)",2.71534957822245,2.590203835738455,2.8404953207064456
"DML-PLR
(XGBoost)",0.987139205956493,0.6503214666128743,1.3239569453001114
"DML-IRM
(XGBoost)",2.4171483143361208,2.2767593724845754,2.557537256187666
