domain_1,domain_2,year,cosine_similarity
hep-ex,hep-lat,2026,0.621471
hep-ex,hep-ph,2019,0.894618
hep-ex,hep-ph,2020,0.895185
hep-ex,hep-ph,2021,0.893095
hep-ex,hep-ph,2022,0.891147
hep-ex,hep-ph,2023,0.880659
hep-ex,hep-ph,2024,0.882778
hep-ex,hep-ph,2025,0.876931
hep-ex,hep-ph,2026,0.883393
hep-ex,hep-th,2019,0.428425
hep-ex,hep-th,2020,0.415258
hep-ex,hep-th,2021,0.422378
hep-ex,hep-th,2022,0.411207
hep-ex,hep-th,2023,0.414976
hep-ex,hep-th,2024,0.418175
hep-ex,hep-th,2025,0.403737
hep-ex,hep-th,2026,0.407366
hep-ex,math,2019,0.140712
hep-ex,math,2020,0.14801
hep-ex,math,2021,0.147841
hep-ex,math,2022,0.121471
hep-ex,math,2023,0.138404
hep-ex,math,2024,0.14927
hep-ex,math,2025,0.142214
hep-ex,math,2026,0.151738
hep-ex,math-ph,2019,0.24362
hep-ex,math-ph,2020,0.244584
hep-ex,math-ph,2021,0.26067
hep-ex,math-ph,2022,0.236847
hep-ex,math-ph,2023,0.235683
hep-ex,math-ph,2024,0.242405
hep-ex,math-ph,2025,0.245875
hep-ex,math-ph,2026,0.256036
hep-ex,nlin,2019,0.191254
hep-ex,nlin,2020,0.183832
hep-ex,nlin,2021,0.176621
hep-ex,nlin,2022,0.16058
hep-ex,nlin,2023,0.159123
hep-ex,nlin,2024,0.160007
hep-ex,nlin,2025,0.180979
hep-ex,nlin,2026,0.200917
hep-ex,nucl-ex,2019,0.908016
hep-ex,nucl-ex,2020,0.889868
hep-ex,nucl-ex,2021,0.901433
hep-ex,nucl-ex,2022,0.902206
hep-ex,nucl-ex,2023,0.884866
hep-ex,nucl-ex,2024,0.890733
hep-ex,nucl-ex,2025,0.892508
hep-ex,nucl-ex,2026,0.904032
hep-ex,nucl-th,2019,0.772118
hep-ex,nucl-th,2020,0.760978
hep-ex,nucl-th,2021,0.756395
hep-ex,nucl-th,2022,0.740643
hep-ex,nucl-th,2023,0.736101
hep-ex,nucl-th,2024,0.744479
hep-ex,nucl-th,2025,0.738231
hep-ex,nucl-th,2026,0.739912
hep-ex,physics,2019,0.507136
hep-ex,physics,2020,0.501328
hep-ex,physics,2021,0.497412
hep-ex,physics,2022,0.548238
hep-ex,physics,2023,0.505134
hep-ex,physics,2024,0.501231
hep-ex,physics,2025,0.525428
hep-ex,physics,2026,0.521584
hep-ex,q-bio,2019,0.150274
hep-ex,q-bio,2020,0.201823
hep-ex,q-bio,2021,0.206112
hep-ex,q-bio,2022,0.209077
hep-ex,q-bio,2023,0.23188
hep-ex,q-bio,2024,0.238703
hep-ex,q-bio,2025,0.249427
hep-ex,q-bio,2026,0.25046
hep-ex,q-fin,2019,0.112267
hep-ex,q-fin,2020,0.135675
hep-ex,q-fin,2021,0.13745
hep-ex,q-fin,2022,0.144837
hep-ex,q-fin,2023,0.158851
hep-ex,q-fin,2024,0.156023
hep-ex,q-fin,2025,0.170954
hep-ex,q-fin,2026,0.189812
hep-ex,quant-ph,2019,0.358949
hep-ex,quant-ph,2020,0.343064
hep-ex,quant-ph,2021,0.356223
hep-ex,quant-ph,2022,0.369836
hep-ex,quant-ph,2023,0.366044
hep-ex,quant-ph,2024,0.363825
hep-ex,quant-ph,2025,0.368306
hep-ex,quant-ph,2026,0.396705
hep-ex,stat,2019,0.132442
hep-ex,stat,2020,0.179451
hep-ex,stat,2021,0.193959
hep-ex,stat,2022,0.194996
hep-ex,stat,2023,0.217611
hep-ex,stat,2024,0.221436
hep-ex,stat,2025,0.233559
hep-ex,stat,2026,0.252245
hep-lat,hep-ph,2019,0.853055
hep-lat,hep-ph,2020,0.833517
hep-lat,hep-ph,2021,0.842577
hep-lat,hep-ph,2022,0.832802
hep-lat,hep-ph,2023,0.841075
hep-lat,hep-ph,2024,0.836744
hep-lat,hep-ph,2025,0.828542
hep-lat,hep-ph,2026,0.821761
hep-lat,hep-th,2019,0.692402
hep-lat,hep-th,2020,0.706615
hep-lat,hep-th,2021,0.715285
hep-lat,hep-th,2022,0.720891
hep-lat,hep-th,2023,0.728067
hep-lat,hep-th,2024,0.722191
hep-lat,hep-th,2025,0.721513
hep-lat,hep-th,2026,0.746626
hep-lat,math,2019,0.396232
hep-lat,math,2020,0.432353
hep-lat,math,2021,0.426029
hep-lat,math,2022,0.440001
hep-lat,math,2023,0.446171
hep-lat,math,2024,0.450339
hep-lat,math,2025,0.455143
hep-lat,math,2026,0.470278
hep-lat,math-ph,2019,0.568404
hep-lat,math-ph,2020,0.628661
hep-lat,math-ph,2021,0.640015
hep-lat,math-ph,2022,0.654184
hep-lat,math-ph,2023,0.64433
hep-lat,math-ph,2024,0.647426
hep-lat,math-ph,2025,0.67233
hep-lat,math-ph,2026,0.697199
hep-lat,nlin,2019,0.419922
hep-lat,nlin,2020,0.458358
hep-lat,nlin,2021,0.440748
hep-lat,nlin,2022,0.466692
hep-lat,nlin,2023,0.459244
hep-lat,nlin,2024,0.449953
hep-lat,nlin,2025,0.491957
hep-lat,nlin,2026,0.494041
hep-lat,nucl-ex,2019,0.629674
hep-lat,nucl-ex,2020,0.638152
hep-lat,nucl-ex,2021,0.636192
hep-lat,nucl-ex,2022,0.627091
hep-lat,nucl-ex,2023,0.602063
hep-lat,nucl-ex,2024,0.605416
hep-lat,nucl-ex,2025,0.611905
hep-lat,nucl-ex,2026,0.587339
hep-lat,nucl-th,2019,0.775991
hep-lat,nucl-th,2020,0.760044
hep-lat,nucl-th,2021,0.759021
hep-lat,nucl-th,2022,0.734554
hep-lat,nucl-th,2023,0.725261
hep-lat,nucl-th,2024,0.72965
hep-lat,nucl-th,2025,0.734913
hep-lat,nucl-th,2026,0.735516
hep-lat,physics,2019,0.512737
hep-lat,physics,2020,0.526129
hep-lat,physics,2021,0.518796
hep-lat,physics,2022,0.532704
hep-lat,physics,2023,0.526814
hep-lat,physics,2024,0.529938
hep-lat,physics,2025,0.547067
hep-lat,physics,2026,0.558532
hep-lat,q-bio,2019,0.224535
hep-lat,q-bio,2020,0.228805
hep-lat,q-bio,2021,0.244337
hep-lat,q-bio,2022,0.259013
hep-lat,q-bio,2023,0.280516
hep-lat,q-bio,2024,0.270898
hep-lat,q-bio,2025,0.296624
hep-lat,q-bio,2026,0.311057
hep-lat,q-fin,2019,0.206906
hep-lat,q-fin,2020,0.219726
hep-lat,q-fin,2021,0.220824
hep-lat,q-fin,2022,0.226412
hep-lat,q-fin,2023,0.239149
hep-lat,q-fin,2024,0.231003
hep-lat,q-fin,2025,0.253467
hep-lat,q-fin,2026,0.265973
hep-lat,quant-ph,2019,0.509822
hep-lat,quant-ph,2020,0.545616
hep-lat,quant-ph,2021,0.551881
hep-lat,quant-ph,2022,0.567884
hep-lat,quant-ph,2023,0.566172
hep-lat,quant-ph,2024,0.573994
hep-lat,quant-ph,2025,0.588837
hep-lat,quant-ph,2026,0.604803
hep-lat,stat,2019,0.182568
hep-lat,stat,2020,0.20542
hep-lat,stat,2021,0.206339
hep-lat,stat,2022,0.20973
hep-lat,stat,2023,0.23935
hep-lat,stat,2024,0.232588
hep-lat,stat,2025,0.250197
hep-lat,stat,2026,0.268106
hep-ph,hep-th,2019,0.685158
hep-ph,hep-th,2020,0.68362
hep-ph,hep-th,2021,0.68727
hep-ph,hep-th,2022,0.685435
hep-ph,hep-th,2023,0.694361
hep-ph,hep-th,2024,0.696303
hep-ph,hep-th,2025,0.693568
hep-ph,hep-th,2026,0.688965
hep-ph,math,2019,0.338389
hep-ph,math,2020,0.339929
hep-ph,math,2021,0.338591
hep-ph,math,2022,0.338625
hep-ph,math,2023,0.349946
hep-ph,math,2024,0.346296
hep-ph,math,2025,0.351688
hep-ph,math,2026,0.362726
hep-ph,math-ph,2019,0.480753
hep-ph,math-ph,2020,0.495843
hep-ph,math-ph,2021,0.510214
hep-ph,math-ph,2022,0.501917
hep-ph,math-ph,2023,0.511389
hep-ph,math-ph,2024,0.512257
hep-ph,math-ph,2025,0.530445
hep-ph,math-ph,2026,0.532831
hep-ph,nlin,2019,0.366353
hep-ph,nlin,2020,0.359432
hep-ph,nlin,2021,0.35324
hep-ph,nlin,2022,0.363635
hep-ph,nlin,2023,0.369309
hep-ph,nlin,2024,0.359451
hep-ph,nlin,2025,0.394079
hep-ph,nlin,2026,0.394552
hep-ph,nucl-ex,2019,0.805758
hep-ph,nucl-ex,2020,0.810112
hep-ph,nucl-ex,2021,0.820481
hep-ph,nucl-ex,2022,0.825703
hep-ph,nucl-ex,2023,0.805659
hep-ph,nucl-ex,2024,0.80947
hep-ph,nucl-ex,2025,0.818958
hep-ph,nucl-ex,2026,0.821943
hep-ph,nucl-th,2019,0.840958
hep-ph,nucl-th,2020,0.830862
hep-ph,nucl-th,2021,0.835293
hep-ph,nucl-th,2022,0.820874
hep-ph,nucl-th,2023,0.829415
hep-ph,nucl-th,2024,0.832473
hep-ph,nucl-th,2025,0.838683
hep-ph,nucl-th,2026,0.834984
hep-ph,physics,2019,0.55519
hep-ph,physics,2020,0.540151
hep-ph,physics,2021,0.538076
hep-ph,physics,2022,0.557497
hep-ph,physics,2023,0.544265
hep-ph,physics,2024,0.544934
hep-ph,physics,2025,0.567898
hep-ph,physics,2026,0.574242
hep-ph,q-bio,2019,0.232817
hep-ph,q-bio,2020,0.233698
hep-ph,q-bio,2021,0.242484
hep-ph,q-bio,2022,0.248564
hep-ph,q-bio,2023,0.259639
hep-ph,q-bio,2024,0.260653
hep-ph,q-bio,2025,0.282604
hep-ph,q-bio,2026,0.296753
hep-ph,q-fin,2019,0.223613
hep-ph,q-fin,2020,0.221722
hep-ph,q-fin,2021,0.224163
hep-ph,q-fin,2022,0.227286
hep-ph,q-fin,2023,0.231177
hep-ph,q-fin,2024,0.223327
hep-ph,q-fin,2025,0.249077
hep-ph,q-fin,2026,0.267789
hep-ph,quant-ph,2019,0.454374
hep-ph,quant-ph,2020,0.45405
hep-ph,quant-ph,2021,0.463755
hep-ph,quant-ph,2022,0.464951
hep-ph,quant-ph,2023,0.469173
hep-ph,quant-ph,2024,0.470825
hep-ph,quant-ph,2025,0.483867
hep-ph,quant-ph,2026,0.49918
hep-ph,stat,2019,0.208176
hep-ph,stat,2020,0.206476
hep-ph,stat,2021,0.213781
hep-ph,stat,2022,0.21603
hep-ph,stat,2023,0.221302
hep-ph,stat,2024,0.222655
hep-ph,stat,2025,0.246454
hep-ph,stat,2026,0.267289
hep-th,math,2019,0.607085
hep-th,math,2020,0.603474
hep-th,math,2021,0.604017
hep-th,math,2022,0.605789
hep-th,math,2023,0.614884
hep-th,math,2024,0.614411
hep-th,math,2025,0.624234
hep-th,math,2026,0.634877
hep-th,math-ph,2019,0.783163
hep-th,math-ph,2020,0.787461
hep-th,math-ph,2021,0.791382
hep-th,math-ph,2022,0.784148
hep-th,math-ph,2023,0.804297
hep-th,math-ph,2024,0.800802
hep-th,math-ph,2025,0.819356
hep-th,math-ph,2026,0.830878
hep-th,nlin,2019,0.520527
hep-th,nlin,2020,0.498287
hep-th,nlin,2021,0.503803
hep-th,nlin,2022,0.526949
hep-th,nlin,2023,0.528878
hep-th,nlin,2024,0.514593
hep-th,nlin,2025,0.530747
hep-th,nlin,2026,0.519532
hep-th,nucl-ex,2019,0.365432
hep-th,nucl-ex,2020,0.380996
hep-th,nucl-ex,2021,0.381267
hep-th,nucl-ex,2022,0.38024
hep-th,nucl-ex,2023,0.368483
hep-th,nucl-ex,2024,0.367924
hep-th,nucl-ex,2025,0.373424
hep-th,nucl-ex,2026,0.372383
hep-th,nucl-th,2019,0.562767
hep-th,nucl-th,2020,0.542509
hep-th,nucl-th,2021,0.557812
hep-th,nucl-th,2022,0.548219
hep-th,nucl-th,2023,0.543998
hep-th,nucl-th,2024,0.536706
hep-th,nucl-th,2025,0.543008
hep-th,nucl-th,2026,0.55771
hep-th,physics,2019,0.411149
hep-th,physics,2020,0.39127
hep-th,physics,2021,0.399874
hep-th,physics,2022,0.400248
hep-th,physics,2023,0.395504
hep-th,physics,2024,0.393046
hep-th,physics,2025,0.395258
hep-th,physics,2026,0.428014
hep-th,q-bio,2019,0.154671
hep-th,q-bio,2020,0.122046
hep-th,q-bio,2021,0.144215
hep-th,q-bio,2022,0.167106
hep-th,q-bio,2023,0.168474
hep-th,q-bio,2024,0.166767
hep-th,q-bio,2025,0.186908
hep-th,q-bio,2026,0.216361
hep-th,q-fin,2019,0.195869
hep-th,q-fin,2020,0.197604
hep-th,q-fin,2021,0.201756
hep-th,q-fin,2022,0.195191
hep-th,q-fin,2023,0.190455
hep-th,q-fin,2024,0.191716
hep-th,q-fin,2025,0.207079
hep-th,q-fin,2026,0.228866
hep-th,quant-ph,2019,0.47176
hep-th,quant-ph,2020,0.463392
hep-th,quant-ph,2021,0.465471
hep-th,quant-ph,2022,0.466882
hep-th,quant-ph,2023,0.468382
hep-th,quant-ph,2024,0.456239
hep-th,quant-ph,2025,0.466741
hep-th,quant-ph,2026,0.49436
hep-th,stat,2019,0.133255
hep-th,stat,2020,0.127687
hep-th,stat,2021,0.139241
hep-th,stat,2022,0.143371
hep-th,stat,2023,0.144606
hep-th,stat,2024,0.147421
hep-th,stat,2025,0.165686
hep-th,stat,2026,0.190991
math,math-ph,2019,0.819022
math,math-ph,2020,0.819017
math,math-ph,2021,0.804189
math,math-ph,2022,0.808323
math,math-ph,2023,0.82045
math,math-ph,2024,0.810916
math,math-ph,2025,0.816815
math,math-ph,2026,0.807258
math,nlin,2019,0.569811
math,nlin,2020,0.574023
math,nlin,2021,0.556587
math,nlin,2022,0.587655
math,nlin,2023,0.589211
math,nlin,2024,0.587578
math,nlin,2025,0.579602
math,nlin,2026,0.563847
math,nucl-ex,2019,0.090922
math,nucl-ex,2020,0.104333
math,nucl-ex,2021,0.107852
math,nucl-ex,2022,0.106718
math,nucl-ex,2023,0.107482
math,nucl-ex,2024,0.100349
math,nucl-ex,2025,0.11645
math,nucl-ex,2026,0.122563
math,nucl-th,2019,0.283841
math,nucl-th,2020,0.275573
math,nucl-th,2021,0.285829
math,nucl-th,2022,0.279399
math,nucl-th,2023,0.275051
math,nucl-th,2024,0.269652
math,nucl-th,2025,0.283312
math,nucl-th,2026,0.297496
math,physics,2019,0.20783
math,physics,2020,0.222931
math,physics,2021,0.233421
math,physics,2022,0.222722
math,physics,2023,0.238666
math,physics,2024,0.224886
math,physics,2025,0.226178
math,physics,2026,0.26273
math,q-bio,2019,0.241576
math,q-bio,2020,0.213619
math,q-bio,2021,0.233987
math,q-bio,2022,0.249734
math,q-bio,2023,0.243128
math,q-bio,2024,0.221123
math,q-bio,2025,0.232385
math,q-bio,2026,0.260353
math,q-fin,2019,0.329475
math,q-fin,2020,0.325964
math,q-fin,2021,0.329814
math,q-fin,2022,0.307293
math,q-fin,2023,0.291071
math,q-fin,2024,0.273624
math,q-fin,2025,0.300216
math,q-fin,2026,0.32604
math,quant-ph,2019,0.333504
math,quant-ph,2020,0.339875
math,quant-ph,2021,0.336647
math,quant-ph,2022,0.337378
math,quant-ph,2023,0.338747
math,quant-ph,2024,0.332241
math,quant-ph,2025,0.340342
math,quant-ph,2026,0.361907
math,stat,2019,0.281516
math,stat,2020,0.295328
math,stat,2021,0.303543
math,stat,2022,0.302546
math,stat,2023,0.309649
math,stat,2024,0.304699
math,stat,2025,0.317341
math,stat,2026,0.334063
math-ph,nlin,2019,0.753327
math-ph,nlin,2020,0.732304
math-ph,nlin,2021,0.734084
math-ph,nlin,2022,0.758364
math-ph,nlin,2023,0.759181
math-ph,nlin,2024,0.749226
math-ph,nlin,2025,0.730835
math-ph,nlin,2026,0.713997
math-ph,nucl-ex,2019,0.227159
math-ph,nucl-ex,2020,0.249418
math-ph,nucl-ex,2021,0.271957
math-ph,nucl-ex,2022,0.263324
math-ph,nucl-ex,2023,0.251694
math-ph,nucl-ex,2024,0.242951
math-ph,nucl-ex,2025,0.264948
math-ph,nucl-ex,2026,0.260464
math-ph,nucl-th,2019,0.488666
math-ph,nucl-th,2020,0.482774
math-ph,nucl-th,2021,0.509994
math-ph,nucl-th,2022,0.500442
math-ph,nucl-th,2023,0.488646
math-ph,nucl-th,2024,0.475969
math-ph,nucl-th,2025,0.49632
math-ph,nucl-th,2026,0.518432
math-ph,physics,2019,0.39896
math-ph,physics,2020,0.397897
math-ph,physics,2021,0.413988
math-ph,physics,2022,0.406695
math-ph,physics,2023,0.408123
math-ph,physics,2024,0.395754
math-ph,physics,2025,0.397164
math-ph,physics,2026,0.448981
math-ph,q-bio,2019,0.233025
math-ph,q-bio,2020,0.172946
math-ph,q-bio,2021,0.203429
math-ph,q-bio,2022,0.223047
math-ph,q-bio,2023,0.213962
math-ph,q-bio,2024,0.184315
math-ph,q-bio,2025,0.209644
math-ph,q-bio,2026,0.257902
math-ph,q-fin,2019,0.257106
math-ph,q-fin,2020,0.239761
math-ph,q-fin,2021,0.248495
math-ph,q-fin,2022,0.223591
math-ph,q-fin,2023,0.213222
math-ph,q-fin,2024,0.191095
math-ph,q-fin,2025,0.219999
math-ph,q-fin,2026,0.252893
math-ph,quant-ph,2019,0.566805
math-ph,quant-ph,2020,0.565632
math-ph,quant-ph,2021,0.583043
math-ph,quant-ph,2022,0.584951
math-ph,quant-ph,2023,0.556533
math-ph,quant-ph,2024,0.543843
math-ph,quant-ph,2025,0.56458
math-ph,quant-ph,2026,0.57552
math-ph,stat,2019,0.16936
math-ph,stat,2020,0.158029
math-ph,stat,2021,0.167484
math-ph,stat,2022,0.169437
math-ph,stat,2023,0.173788
math-ph,stat,2024,0.163803
math-ph,stat,2025,0.194822
math-ph,stat,2026,0.225981
nlin,nucl-ex,2019,0.213491
nlin,nucl-ex,2020,0.217855
nlin,nucl-ex,2021,0.214565
nlin,nucl-ex,2022,0.203549
nlin,nucl-ex,2023,0.193367
nlin,nucl-ex,2024,0.168092
nlin,nucl-ex,2025,0.203613
nlin,nucl-ex,2026,0.202103
nlin,nucl-th,2019,0.448573
nlin,nucl-th,2020,0.439246
nlin,nucl-th,2021,0.429918
nlin,nucl-th,2022,0.428635
nlin,nucl-th,2023,0.419289
nlin,nucl-th,2024,0.389547
nlin,nucl-th,2025,0.428688
nlin,nucl-th,2026,0.446431
nlin,physics,2019,0.520607
nlin,physics,2020,0.539448
nlin,physics,2021,0.550542
nlin,physics,2022,0.519488
nlin,physics,2023,0.511909
nlin,physics,2024,0.495049
nlin,physics,2025,0.526925
nlin,physics,2026,0.574526
nlin,q-bio,2019,0.429208
nlin,q-bio,2020,0.37714
nlin,q-bio,2021,0.389518
nlin,q-bio,2022,0.397732
nlin,q-bio,2023,0.383228
nlin,q-bio,2024,0.3741
nlin,q-bio,2025,0.415338
nlin,q-bio,2026,0.491196
nlin,q-fin,2019,0.222832
nlin,q-fin,2020,0.201528
nlin,q-fin,2021,0.188682
nlin,q-fin,2022,0.177183
nlin,q-fin,2023,0.167298
nlin,q-fin,2024,0.176078
nlin,q-fin,2025,0.226384
nlin,q-fin,2026,0.266413
nlin,quant-ph,2019,0.500129
nlin,quant-ph,2020,0.486338
nlin,quant-ph,2021,0.480181
nlin,quant-ph,2022,0.480656
nlin,quant-ph,2023,0.463702
nlin,quant-ph,2024,0.432664
nlin,quant-ph,2025,0.468571
nlin,quant-ph,2026,0.490975
nlin,stat,2019,0.123263
nlin,stat,2020,0.129561
nlin,stat,2021,0.109807
nlin,stat,2022,0.12729
nlin,stat,2023,0.129153
nlin,stat,2024,0.157133
nlin,stat,2025,0.205104
nlin,stat,2026,0.24388
nucl-ex,nucl-th,2019,0.845305
nucl-ex,nucl-th,2020,0.902183
nucl-ex,nucl-th,2021,0.893726
nucl-ex,nucl-th,2022,0.886083
nucl-ex,nucl-th,2023,0.887513
nucl-ex,nucl-th,2024,0.888056
nucl-ex,nucl-th,2025,0.891181
nucl-ex,nucl-th,2026,0.862928
nucl-ex,physics,2019,0.572024
nucl-ex,physics,2020,0.576262
nucl-ex,physics,2021,0.553407
nucl-ex,physics,2022,0.573507
nucl-ex,physics,2023,0.542982
nucl-ex,physics,2024,0.531633
nucl-ex,physics,2025,0.540844
nucl-ex,physics,2026,0.527926
nucl-ex,q-bio,2019,0.143072
nucl-ex,q-bio,2020,0.136711
nucl-ex,q-bio,2021,0.145977
nucl-ex,q-bio,2022,0.145892
nucl-ex,q-bio,2023,0.151125
nucl-ex,q-bio,2024,0.153631
nucl-ex,q-bio,2025,0.176962
nucl-ex,q-bio,2026,0.164614
nucl-ex,q-fin,2019,0.067703
nucl-ex,q-fin,2020,0.050887
nucl-ex,q-fin,2021,0.053767
nucl-ex,q-fin,2022,0.066572
nucl-ex,q-fin,2023,0.063199
nucl-ex,q-fin,2024,0.050123
nucl-ex,q-fin,2025,0.076317
nucl-ex,q-fin,2026,0.08704
nucl-ex,quant-ph,2019,0.348767
nucl-ex,quant-ph,2020,0.344735
nucl-ex,quant-ph,2021,0.351363
nucl-ex,quant-ph,2022,0.349852
nucl-ex,quant-ph,2023,0.328585
nucl-ex,quant-ph,2024,0.331669
nucl-ex,quant-ph,2025,0.341534
nucl-ex,quant-ph,2026,0.340299
nucl-ex,stat,2019,0.066216
nucl-ex,stat,2020,0.081185
nucl-ex,stat,2021,0.085842
nucl-ex,stat,2022,0.086535
nucl-ex,stat,2023,0.085237
nucl-ex,stat,2024,0.089929
nucl-ex,stat,2025,0.121091
nucl-ex,stat,2026,0.129356
nucl-th,physics,2019,0.644371
nucl-th,physics,2020,0.629366
nucl-th,physics,2021,0.615603
nucl-th,physics,2022,0.626118
nucl-th,physics,2023,0.615818
nucl-th,physics,2024,0.605394
nucl-th,physics,2025,0.605597
nucl-th,physics,2026,0.626977
nucl-th,q-bio,2019,0.250959
nucl-th,q-bio,2020,0.197599
nucl-th,q-bio,2021,0.228087
nucl-th,q-bio,2022,0.238071
nucl-th,q-bio,2023,0.248604
nucl-th,q-bio,2024,0.254354
nucl-th,q-bio,2025,0.262019
nucl-th,q-bio,2026,0.284291
nucl-th,q-fin,2019,0.154689
nucl-th,q-fin,2020,0.128972
nucl-th,q-fin,2021,0.145963
nucl-th,q-fin,2022,0.140597
nucl-th,q-fin,2023,0.14352
nucl-th,q-fin,2024,0.140993
nucl-th,q-fin,2025,0.159321
nucl-th,q-fin,2026,0.177377
nucl-th,quant-ph,2019,0.449331
nucl-th,quant-ph,2020,0.439454
nucl-th,quant-ph,2021,0.433233
nucl-th,quant-ph,2022,0.435402
nucl-th,quant-ph,2023,0.426208
nucl-th,quant-ph,2024,0.424076
nucl-th,quant-ph,2025,0.434124
nucl-th,quant-ph,2026,0.469071
nucl-th,stat,2019,0.125477
nucl-th,stat,2020,0.116371
nucl-th,stat,2021,0.13553
nucl-th,stat,2022,0.13792
nucl-th,stat,2023,0.14191
nucl-th,stat,2024,0.158971
nucl-th,stat,2025,0.176711
nucl-th,stat,2026,0.204465
physics,q-bio,2019,0.363083
physics,q-bio,2020,0.344879
physics,q-bio,2021,0.401605
physics,q-bio,2022,0.387957
physics,q-bio,2023,0.423053
physics,q-bio,2024,0.442397
physics,q-bio,2025,0.502734
physics,q-bio,2026,0.531504
physics,q-fin,2019,0.148972
physics,q-fin,2020,0.165253
physics,q-fin,2021,0.174458
physics,q-fin,2022,0.172402
physics,q-fin,2023,0.186279
physics,q-fin,2024,0.198998
physics,q-fin,2025,0.253572
physics,q-fin,2026,0.294615
physics,quant-ph,2019,0.571505
physics,quant-ph,2020,0.558753
physics,quant-ph,2021,0.559259
physics,quant-ph,2022,0.560908
physics,quant-ph,2023,0.555954
physics,quant-ph,2024,0.568073
physics,quant-ph,2025,0.588399
physics,quant-ph,2026,0.612268
physics,stat,2019,0.211122
physics,stat,2020,0.241758
physics,stat,2021,0.25318
physics,stat,2022,0.251707
physics,stat,2023,0.273369
physics,stat,2024,0.29471
physics,stat,2025,0.353177
physics,stat,2026,0.395205
q-bio,q-fin,2019,0.309168
q-bio,q-fin,2020,0.35547
q-bio,q-fin,2021,0.346944
q-bio,q-fin,2022,0.351062
q-bio,q-fin,2023,0.341282
q-bio,q-fin,2024,0.351088
q-bio,q-fin,2025,0.398375
q-bio,q-fin,2026,0.433105
q-bio,quant-ph,2019,0.275039
q-bio,quant-ph,2020,0.179326
q-bio,quant-ph,2021,0.238312
q-bio,quant-ph,2022,0.258659
q-bio,quant-ph,2023,0.279769
q-bio,quant-ph,2024,0.2823
q-bio,quant-ph,2025,0.328655
q-bio,quant-ph,2026,0.358318
q-bio,stat,2019,0.622383
q-bio,stat,2020,0.661119
q-bio,stat,2021,0.66946
q-bio,stat,2022,0.671374
q-bio,stat,2023,0.674309
q-bio,stat,2024,0.678952
q-bio,stat,2025,0.700389
q-bio,stat,2026,0.705935
q-fin,quant-ph,2019,0.210309
q-fin,quant-ph,2020,0.198342
q-fin,quant-ph,2021,0.204613
q-fin,quant-ph,2022,0.200992
q-fin,quant-ph,2023,0.21163
q-fin,quant-ph,2024,0.208124
q-fin,quant-ph,2025,0.248676
q-fin,quant-ph,2026,0.27784
q-fin,stat,2019,0.560283
q-fin,stat,2020,0.576952
q-fin,stat,2021,0.585744
q-fin,stat,2022,0.590032
q-fin,stat,2023,0.590894
q-fin,stat,2024,0.60119
q-fin,stat,2025,0.629334
q-fin,stat,2026,0.670407
quant-ph,stat,2019,0.206579
quant-ph,stat,2020,0.191776
quant-ph,stat,2021,0.208751
quant-ph,stat,2022,0.214134
quant-ph,stat,2023,0.230626
quant-ph,stat,2024,0.238457
quant-ph,stat,2025,0.270838
quant-ph,stat,2026,0.303166
